Species,Longitude,Latitude
Alternanthera philoxeroides,88.25933,21.68656
Alternanthera philoxeroides,-92.907595,30.129896
Alternanthera philoxeroides,174.881155,-36.866449
Alternanthera philoxeroides,-85.443191,15.233665
Alternanthera philoxeroides,-89.617849,30.382252
Alternanthera philoxeroides,-86.468164,32.455102
Alternanthera philoxeroides,-75.919016,36.669155
Alternanthera philoxeroides,-95.149465,29.589726
Alternanthera philoxeroides,151.013347,-33.867724
Alternanthera philoxeroides,-93.678514,30.136569
Alternanthera philoxeroides,-89.968313,32.387312
Alternanthera philoxeroides,-96.638934,33.198339
Alternanthera philoxeroides,-90.10785,30.026945
Alternanthera philoxeroides,-52.186859,-32.170137
Alternanthera philoxeroides,-96.880478,32.844692
Alternanthera philoxeroides,-89.568737,31.389712
Alternanthera philoxeroides,-80.402345,32.665047
Alternanthera philoxeroides,-91.237162,30.685273
Alternanthera philoxeroides,-94.645067,31.617555
Alternanthera philoxeroides,-89.500809,30.248026
Alternanthera philoxeroides,-95.224905,29.439676
Alternanthera philoxeroides,-81.381303,34.246912
Alternanthera philoxeroides,-90.053528,29.88611
Alternanthera philoxeroides,-94.729935,32.549335
Alternanthera philoxeroides,-94.464618,29.682563
Alternanthera philoxeroides,-95.179994,32.212171
Alternanthera philoxeroides,-94.164833,33.482208
Alternanthera philoxeroides,-95.733602,29.653274
Alternanthera philoxeroides,-84.8757,30.804948
Alternanthera philoxeroides,-98.091576,29.688101
Alternanthera philoxeroides,-82.605238,28.022606
Alternanthera philoxeroides,-78.541237,35.78298
Alternanthera philoxeroides,119.816566,33.175467
Alternanthera philoxeroides,-80.776491,32.140817
Alternanthera philoxeroides,-82.291644,29.514739
Alternanthera philoxeroides,-92.338833,29.876118
Alternanthera philoxeroides,-84.50484,30.458577
Alternanthera philoxeroides,-95.466856,32.215748
Alternanthera philoxeroides,-97.35067,32.744952
Alternanthera philoxeroides,-84.285301,33.484102
Alternanthera philoxeroides,-97.106329,31.551689
Alternanthera philoxeroides,-95.121351,29.564887
Alternanthera philoxeroides,121.60972,25.042278
Alternanthera philoxeroides,-77.925941,33.962963
Alternanthera philoxeroides,-95.248411,29.783149
Alternanthera philoxeroides,-95.538437,29.84763
Alternanthera philoxeroides,-96.961418,29.901275
Alternanthera philoxeroides,-81.651493,29.584105
Alternanthera philoxeroides,-85.643197,30.988247
Alternanthera philoxeroides,-60.767331,-31.666776
Alternanthera philoxeroides,-82.053814,28.224637
